"Suburb","avg_price","count","lat","lon"
"Maribyrnong",825198.039215686,102,-37.775647745098,144.888418039216
"McKinnon",1588863.63636364,11,-37.9101845454545,145.036411818182
"Meadow Heights",483380.952380952,21,-37.6514476190476,144.920804285714
"Melbourne",613490,50,-37.81286,144.9633894
"Melton",420718.75,16,-37.68444625,144.577159375
"Melton South",378845.238095238,21,-37.7045842857143,144.574157619048
"Melton West",434727.272727273,11,-37.6748372727273,144.555547272727
"Mentone",874527.027027027,37,-37.9815481081081,145.071029189189
"Mernda",622964.285714286,14,-37.603015,145.089362142857
"Middle Park",2104894.73684211,38,-37.8504421052632,144.962255526316
"Mill Park",653743.296296296,54,-37.6657103703704,145.060602222222
"Mitcham",946510.810810811,37,-37.8169040540541,145.198766486486
"Monbulk",720000,1,-37.87931,145.41288
"Mont Albert",1595337.5,40,-37.81674,145.10922125
"Montmorency",895822.727272727,22,-37.721515,145.125754090909
"Montrose",735000,1,-37.81018,145.35396
"Moonee Ponds",1111498.13664596,161,-37.7658510559006,144.919030372671
"Moorabbin",986063.432835821,67,-37.9399243283582,145.049224328358
"Mooroolbark",738166.666666667,15,-37.7814506666667,145.318153333333
"Mordialloc",1061395.83333333,24,-38.0024008333333,145.092166666667
"Mount Evelyn",567500,2,-37.79236,145.38206
"Mount Waverley",1368983.13253012,83,-37.8765313253012,145.128934939759
"Mulgrave",1180000,32,-37.9281184375,145.17777625
"Murrumbeena",974618.755555556,90,-37.8954216666667,145.070383111111
"Narre Warren",656222.222222222,9,-38.0267688888889,145.306337777778
"New Gisborne",870000,3,-37.4626066666667,144.595543333333
"Newport",1054286.71328671,143,-37.8428311188811,144.878444685315
"Niddrie",977293.103448276,87,-37.7399850574713,144.885624942529
"Noble Park",651071.428571429,14,-37.9705978571429,145.181218571429
"North Melbourne",887274.875,88,-37.80148125,144.950033863636
"North Warrandyte",1226000,2,-37.729595,145.224565
"Northcote",1272863.30049261,203,-37.7729250246305,145.001514433498
"Notting Hill",991916.666666667,6,-37.9063066666667,145.146865
"Nunawading",995760,25,-37.8182936,145.175454
